Customer_ID	Customer_Number	Customer Name	Gender	State
1	CG-12520	Claire Gute	Female	Kentucky
2	DV-13045	Darrin Van Huff	Female	Kentucky
3	SO-20335	Sean O'Donnell	Male	California
4	BH-11710	Brosina Hoffman	Male	Florida
5	AA-10480	Andrew Allen	Male	Florida
6	IM-15070	Irene Maddox	Male	California
7	HP-14815	Harold Pawlan	Female	California
8	PK-19075	Pete Kriz	Female	California
9	AG-10270	Alejandro Grove	Female	California
10	ZD-21925	Zuschuss Donatelli	Female	California
11	KB-16585	Ken Black	Female	California
12	SF-20065	Sandra Flanagan	Male	California
13	EB-13870	Emily Burns	Female	North Carolina
14	EH-13945	Eric Hoffmann	Male	Washington
15	TB-21520	Tracy Blumstein	Female	Texas
16	MA-17560	Matt Abelman	Female	Texas
17	GH-14485	Gene Hale	Female	Wisconsin
18	SN-20710	Steve Nguyen	Male	Utah
19	LC-16930	Linda Cazamias	Male	California
20	RA-19885	Ruben Ausman	Female	California
21	ES-14080	Erin Smith	Male	California
22	ON-18715	Odella Nelson	Male	Nebraska
23	PO-18865	Patrick O'Donnell	Male	Nebraska
24	LH-16900	Lena Hernandez	Male	Pennsylvania
25	DP-13000	Darren Powers	Male	Utah
26	JM-15265	Janet Molinari	Female	California
27	TB-21055	Ted Butterfield	Male	California
28	KM-16720	Kunst Miller	Female	Pennsylvania
29	PS-18970	Paul Stevenson	Female	Pennsylvania
30	BS-11590	Brendan Sweed	Male	Pennsylvania
31	KD-16270	Karen Daniels	Male	Pennsylvania
32	HM-14980	Henry MacAllister	Male	Pennsylvania
33	JE-15745	Joel Eaton	Male	Pennsylvania
34	KB-16600	Ken Brennan	Male	Pennsylvania
35	SC-20770	Stewart Carmichael	Female	Texas
36	DN-13690	Duane Noonan	Female	Texas
37	JC-16105	Julie Creighton	Male	Texas
38	CS-12400	Christopher Schild	Female	Texas
39	PG-18895	Paul Gonzalez	Female	Texas
40	GM-14455	Gary Mitchum	Male	Texas
41	JS-15685	Jim Sink	Female	Texas
42	KB-16315	Karl Braun	Male	Illinois
43	RB-19705	Roger Barcio	Female	California
44	PN-18775	Parhena Norris	Female	Florida
45	KD-16345	Katherine Ducich	Male	Minnesota
46	ER-13855	Elpida Rittenbach	Female	Minnesota
47	RB-19465	Rick Bensley	Male	Michigan
48	GZ-14470	Gary Zandusky	Female	Delaware
49	LC-16870	Lena Cacioppo	Male	Delaware
50	JM-15250	Janet Martin	Female	Indiana
51	PA-19060	Pete Armstrong	Male	Indiana
52	CV-12805	Cynthia Voltz	Female	Indiana
53	CL-12565	Clay Ludtke	Female	Indiana
54	RC-19960	Ryan Crowe	Male	New York
55	DK-13090	Dave Kipp	Male	New York
56	GG-14650	Greg Guthrie	Female	New York
57	SC-20725	Steven Cartwright	Male	New York
58	AD-10180	Alan Dominguez	Male	New York
59	PF-19165	Philip Fox	Female	New York
60	TS-21610	Troy Staebel	Male	New York
61	LS-16975	Lindsay Shagiari	Female	New York
62	DW-13585	Dorothy Wardle	Male	New York
63	LC-16885	Lena Creighton	Female	California
64	JD-15895	Jonathan Doherty	Male	California
65	SH-19975	Sally Hughsby	Male	California
66	SG-20080	Sandra Glassco	Male	California
67	HA-14920	Helen Andreada	Female	Illinois
68	MG-17680	Maureen Gastineau	Female	Arizona
69	JE-16165	Justin Ellison	Male	Arizona
70	TW-21025	Tamara Willingham	Female	Virginia
71	SP-20650	Stephanie Phelps	Male	New York
72	NK-18490	Neil Knudson	Male	Michigan
73	DB-13060	Dave Brooks	Female	Tennessee
74	NP-18670	Nora Paige	Female	Tennessee
